question_id,gold,gpt_nor_pred,xl_nor_pred,gpt_token_f1,xl_token_f1,gpt_contains_gold,gpt_verbosity_ratio
single_squad_dev_1458,the Governor,the leader or head of the council,the President of the Executive Council,0.0000,0.0000,0,5.00
single_squad_dev_1481,Icelandic and Faroese,Icelandic and Faroese,Hong Kong Standard Mandarin,1.0000,0.0000,1,1.00
single_squad_dev_1500,bacteria and algae,"steam reforming of natural gas, electrolysis of water, and biomass gasification",oxidation,0.1429,0.0000,0,3.67
single_squad_dev_1518,"about 46,226","43,298","61,590",0.0000,0.0000,0,0.50
single_squad_dev_1553,5,35,six,0.0000,0.0000,1,1.00
single_squad_dev_1557,2007,"April 14, 2007","December 1, 2007",0.5000,0.5000,1,3.00
single_squad_dev_1567,12th,11th century,11th century,0.0000,0.0000,0,2.00
single_squad_dev_1575,the National Communications Act,Telecommunications Act of 1996,Communications Act,0.2857,0.8000,0,1.33
single_squad_dev_1579,private television networks,Somali television networks,cable television,0.6667,0.4000,0,1.00
single_squad_dev_159,20th century,1928,1939,0.0000,0.0000,0,0.50
single_squad_dev_1612,suffix -s,adding -s or -es to the end of a noun,-ing,0.2000,0.0000,0,4.00
single_squad_dev_1618,Kristjan Jaak Peterson,Kristjan Jaak Peterson,Jüri Rataj,1.0000,0.0000,1,1.00
single_squad_dev_1631,china clay,kaolin clay,kaolin,0.5000,0.0000,0,1.00
single_squad_dev_1635,"September 30, 2007","The expiration date of Foster's patent is not specified. There have been multiple patents issued to individuals with the last name Foster, so it is unclear which specific patent is being referred to. Without more information, it is not possible to determine the answer to this question",1837,0.0000,0.0000,0,14.67
single_squad_dev_1644,$14 million,$20 million,$1.1 billion,0.5000,0.0000,0,1.00
single_squad_dev_1649,two,10 years,20,0.0000,0.0000,0,2.00
single_squad_dev_1655,"June 30, 2006","January 1, 1966","September 1, 2017",0.0000,0.0000,0,1.00
single_squad_dev_167,absorption of estrogens,inflammation and maintain a healthy digestive system,toxins,0.0000,0.0000,0,2.00
single_squad_dev_1677,raising children,personal struggles and emotions,life after death,0.0000,0.0000,0,2.00
single_squad_dev_1713,late May 1645,"June 6, 1645",6 June 1644,0.3333,0.0000,0,1.00
single_squad_dev_173,Dorothy Crowfoot Hodgkin,Alexander Fleming,Sir Alexander Fleming,0.0000,0.0000,0,0.67
single_squad_dev_1735,"15,011,792 passengers",The question does not specify which airport is being referred to. Please provide more information to accurately answer the question,58.7 million,0.0000,0.0000,0,9.00
single_squad_dev_1746,from 16 to 28 August,"August 16 to August 28, 2014",July,0.7273,0.0000,0,1.20
single_squad_dev_1759,a Cultural World Heritage Site,a World Heritage Site,World Heritage Site,0.8571,0.8571,0,0.75
single_squad_dev_1780,1987,2005,2012,0.0000,0.0000,0,1.00
single_squad_dev_1818,1929,1929,1927,1.0000,0.0000,1,1.00
single_squad_dev_1866,privatized less,The question is unclear and does not specify which countries or what type of extralegal and unofficial things are being referred to. Please provide more information for an accurate answer,have weaker legal systems,0.0000,0.0000,0,14.00
single_squad_dev_1880,South Slavic,South Slavic,Albanian,1.0000,0.0000,1,1.00
single_squad_dev_1886,use of a printed score and the performance of very complex instrumental works,complexity and use of orchestral instruments,it is a form of art music,0.3529,0.1176,0,0.55
single_squad_dev_1893,female,male,female,0.0000,1.0000,0,1.00
single_squad_dev_19,five-year,five years,four-year,0.0000,0.0000,0,2.00
single_squad_dev_1919,the Balkans,the Balkans,Poland,1.0000,0.0000,1,1.00
single_squad_dev_194,a march,polonaise,Piano Trio in E flat major,0.0000,0.0000,0,1.00
single_squad_dev_1950,depth,narrow and shallow,its depth,0.0000,0.6667,0,3.00
single_squad_dev_197,sister Emilia,Emilia,his father,0.6667,0.0000,0,0.50
single_squad_dev_1992,A state's consent,the treaty,treaty,0.0000,0.0000,0,0.50
single_squad_dev_1996,permitting no violations and so cannot be altered through treaty obligations,their absolute and universal nature,they are binding on all parties,0.1250,0.0000,0,0.45
single_squad_dev_2028,Montenegro,"Rijeka, Croatia",Zagreb,0.0000,0.0000,0,2.00
single_squad_dev_2038,Los Barbudos,Cebu,Visayas,0.0000,0.0000,0,0.50
single_squad_dev_2043,6th Fleet,Combined Fleet,The Imperial Japanese Navy,0.5000,0.0000,0,1.00
single_squad_dev_2051,ten,15,15,0.0000,0.0000,0,1.00
single_squad_dev_2059,"the ius militare,",mourning and grieving process,screams,0.0000,0.0000,0,2.00
single_squad_dev_2075,King to pay indemnities,ransom or exchange,he could make them a knight,0.0000,0.0000,0,0.75
single_squad_dev_2094,"September 21, 19 BC","September 21, 19 BC",c. AD 79,1.0000,0.0000,1,1.00
single_squad_dev_2114,the Napoleonic Wars,"American Revolutionary War, French Revolutionary Wars, Napoleonic Wars, and War of 1812",Napoleonic Wars,0.2857,1.0000,1,6.00
single_squad_dev_2116,the 9th or 10th centuries,1050,15th century,0.0000,0.0000,0,0.25
single_squad_dev_2125,winter,"during the winter months, typically from November to April",during winter,0.2222,0.6667,1,8.00
single_squad_dev_2139,a unit,mRNA,mRNA,0.0000,0.0000,0,1.00
single_squad_dev_2153,1000 genes,"5,800",168,0.0000,0.0000,0,0.50
single_squad_dev_2175,Oumarou Ganda Prize,Tanit d'Or (Golden Tanit) award,Best Foreign Language Film,0.0000,0.0000,0,1.67
single_squad_dev_219,tenth,1830,100th,0.0000,0.0000,0,1.00
single_squad_dev_2194,Amsterdam Avenue,Amsterdam Avenue,Broadway,1.0000,0.0000,1,1.00
single_squad_dev_2222,neuroscience and psychology,psychology and computer science,psychology and neuroscience,0.5714,1.0000,0,1.33
single_squad_dev_2225,molecular components of the brain to be altered experimentally;,the manipulation of an organism's genetic material,cloning,0.1538,0.0000,0,0.62
single_squad_dev_2253,"day-to-day running of the armed forces, contingency planning and defence procurement",the armed forces,Defence,0.3333,0.1818,0,0.20
single_squad_dev_2272,MUSE,Strategic Defense Initiative (SDI),Xerox System,0.0000,0.0000,0,4.00
single_squad_dev_229,1895,1889,1888,0.0000,0.0000,0,1.00
single_squad_dev_2301,Variation,variation in density,The wood will be lighter or heavier than the expected value.,0.5000,0.0000,1,3.00
single_squad_dev_2306,timber,timber or lumber,planks,0.5000,0.0000,1,3.00
single_squad_dev_2329,Djibouti,any of the listed countries,Tunisia,0.0000,0.0000,0,4.00
single_squad_dev_233,Michel Fokine,Mikhail Fokine,George Balanchine,0.5000,0.0000,0,1.00
single_squad_dev_2362,Denmark,Denmark,Denmark,1.0000,1.0000,1,1.00
single_squad_dev_24,Central Collegiate Hockey Association,Central Collegiate Hockey Association (CCHA),NCAA Division I,0.8889,0.0000,1,1.25
single_squad_dev_2409,CPUs,central processing units (CPUs),cores,0.4000,0.0000,1,4.00
single_squad_dev_2410,a computer,computers,computer,0.0000,1.0000,1,1.00
single_squad_dev_2442,the binary polarization of society into black and white,Brazil has avoided a major terrorist attack,recession,0.0000,0.0000,0,0.75
single_squad_dev_2498,Aristotle,Herodotus,Plato,0.0000,0.0000,0,1.00
single_squad_dev_2513,The ability to navigate,the movement of people from one place to another for various reasons,migration,0.1429,0.0000,0,3.67
single_squad_dev_2566,2017,2017,2010,1.0000,0.0000,1,1.00
single_squad_dev_2572,1980s,1980s,1980s,1.0000,1.0000,1,1.00
single_squad_dev_2575,1985,1984,1987,0.0000,0.0000,0,1.00
single_squad_dev_2581,Chicago,"Chicago, Illinois",Jefferson County,0.6667,0.0000,1,2.00
single_squad_dev_2583,topped the US charts,It reached number one on the Billboard Hot 100 chart and became the best-selling single of 1990 in the US,chart-topping,0.1000,0.0000,0,5.67
single_squad_dev_2598,1826,The question is unclear as it does not specify which body is being referred to. Please provide more context or information,1834,0.0000,0.0000,0,20.00
single_squad_dev_2609,mining center,mining,textile,0.6667,0.0000,0,0.50
single_squad_dev_2613,six men,This question is unclear and does not provide enough context to determine an answer. Please provide more information,ten,0.0000,0.0000,0,8.50
single_squad_dev_2616,two,multiple,four,0.0000,0.0000,0,1.00
single_squad_dev_2617,the missing fundamental,high-pitched sound,stutter,0.0000,0.0000,0,1.00
single_squad_dev_2619,indefinite pitch,musical notes,a musical instrument,0.0000,0.0000,0,1.00
single_squad_dev_2654,George Bush Intercontinental Airport,"Houston, Texas, United States","Houston, Texas",0.0000,0.0000,0,1.00
single_squad_dev_2658,355,275,three,0.0000,0.0000,0,1.00
single_squad_dev_2661,0.6%,between 0.6% and 2.5%,0.15%,0.4000,0.0000,1,4.00
single_squad_dev_2664,identity,present,The Past Present Future,0.0000,0.0000,0,1.00
single_squad_dev_2665,the identity variant,family structure,social environment,0.0000,0.0000,0,1.00
single_squad_dev_2675,₹ 52.7 million,This question is incomplete and cannot be answered without more information. Please provide more context or details,"$500,000",0.0000,0.0000,0,5.67
single_squad_dev_2685,another person or being,intended recipient or audience,brain,0.2500,0.0000,0,1.00
single_squad_dev_2698,Semiformally Verified Design and Tested,extensive testing and analysis of security features,a level of security that is equivalent to the highest level of security achieved by the U.S. Department of Defense,0.1667,0.0000,0,1.40
single_squad_dev_2702,Avid Life Media,Avid Life Media,Ashley Madison Holdings Inc.,1.0000,0.0000,1,1.00
single_squad_dev_2704,R. Clarke,Ralph Nader,John Maynard Keynes,0.0000,0.0000,0,1.00
single_squad_dev_2708,October,October,October,1.0000,1.0000,1,1.00
single_squad_dev_2771,8th,2nd,ranked tenth,0.0000,0.0000,0,1.00
single_squad_dev_2773,Department of Medicine,"Without knowing the name of the professor, it is impossible to determine which department they belonged to. Please provide more information for an accurate answer",Department of Chemistry,0.1600,0.6667,0,7.33
single_squad_dev_2799,40,20,five,0.0000,0.0000,0,1.00
single_squad_dev_2805,Robert C. Solomon,Robert C. Solomon,John Dewey,1.0000,0.0000,1,1.00
single_squad_dev_2820,$3.16 billion,$4.76 billion,€21.6 billion,0.5000,0.5000,0,1.00
single_squad_dev_2829,derbi,Copa del Rey final,La Liga,0.0000,0.0000,0,4.00
single_squad_dev_2839,1878,1878,1878,1.0000,1.0000,1,1.00
single_squad_dev_2849,The Black Watch,The Black Watch,Black Cats,1.0000,0.5000,1,1.00
single_squad_dev_2854,word-endings,nouns and adjectives,affricate and genitive,0.0000,0.0000,0,3.00
single_squad_dev_2856,mercantile hulls,merchant ship hulls,steel,0.4000,0.0000,0,1.50
single_squad_dev_2857,accelerate more quickly to gain lift,increase takeoff speed and use more thrust,land with a greater angle of attack,0.1538,0.0000,0,1.17
single_squad_dev_2888,The Red Rose of Lancaster,Red Rose,dahlia,0.6667,0.0000,0,0.50
single_squad_dev_2912,the pope,"The question does not specify which calendar is being referred to. Therefore, it is impossible to determine who awarded the rights to publish the calendar. Please provide more information for an accurate answer",the British Royal Family,0.0000,0.0000,0,29.00
single_squad_dev_2927,scaling down and in some cases discontinuing sales,stop selling,canceled the product,0.0000,0.0000,0,0.25
single_squad_dev_2987,If a crop fails in a monoculture,when crops fail or when farmers want to rotate their crops,when a crop fails,0.0000,0.5000,0,2.20
single_squad_dev_304,Wal-Mart,Hewlett-Packard (HP),Best Buy,0.0000,0.0000,0,2.00
single_squad_dev_3058,17.0,16.9 years old,16,0.0000,0.0000,0,3.00
single_squad_dev_3061,U.S. and South Sudan,Somalia and South Sudan,France and Germany,0.7500,0.2857,0,1.00
single_squad_dev_3083,south of 60° S,66.33 degrees South,60°N,0.2857,0.0000,0,0.75
single_squad_dev_3086,21 July 1983,"July 21, 1983","January 29, 1979",1.0000,0.0000,0,1.00
single_squad_dev_3094,Biologists,Scientists and researchers,anthropologist,0.0000,0.0000,0,3.00
single_squad_dev_3122,property market,housing market,Melbourne's residential property market,0.5000,0.6667,0,1.00
single_squad_dev_3126,Melbourne,Toowoomba,Melbourne,0.0000,1.0000,0,1.00
single_squad_dev_3151,Jim Bradbury,Frank Barlow,John Dryden,0.0000,0.0000,0,1.00
single_squad_dev_3201,throughout the inter-war period,"It is not specified which guns are being referred to in this question. Therefore, it is impossible to accurately answer this question. Please provide more information",1812,0.0000,0.0000,0,8.67
single_squad_dev_3217,self-propelled anti-aircraft guns,Self-Propelled Anti-Aircraft Gun,Species at Risk Act of Australia,0.6667,0.0000,0,1.00
single_squad_dev_3219,three AA corps,three,three,0.5000,0.5000,0,0.33
single_squad_dev_3225,"60,000 ft","30,000 to 160,000 feet","30,000 feet",0.0000,0.0000,0,2.00
single_squad_dev_3233,regional scripts,the ability to record and preserve language and information,it was written in a script,0.0000,0.0000,0,4.00
single_squad_dev_3274,Jeff Immelt,Jeff Immelt,Jeffrey Immelt,1.0000,0.5000,1,1.00
single_squad_dev_3301,General Manstein,William C. Westmoreland,General George S. Patton,0.0000,0.3333,0,1.50
single_squad_dev_3305,20 September,"September 18, 1870",1 July 1453,0.4000,0.0000,0,1.50
single_squad_dev_3328,more than 500 km,approximately 120 kilometers (75 miles),66 km,0.0000,0.3333,0,1.25
single_squad_dev_3336,region that included eastern Ethiopia and all of Eritrea,"Eritrea, Ethiopia, or Somalia",in the Middle East,0.3077,0.0000,0,0.44
single_squad_dev_3345,Depleted,depleted uranium,thorium,0.6667,0.0000,1,2.00
single_squad_dev_3353,1–2%,difficult to determine,99%,0.0000,0.0000,0,3.00
single_squad_dev_3379,Rousseau,Jean-Jacques Rousseau,John Stuart Mill,0.6667,0.0000,1,2.00
single_squad_dev_3409,time cues,circadian rhythm,arousal,0.0000,0.0000,0,1.00
single_squad_dev_3432,abdication of his brother,the abdication of King Edward VIII,the Battle of Bosworth,0.4444,0.2857,0,1.25
single_squad_dev_3437,reform,"It is unclear who \""Trudeau\"" and \""Elizabeth\"" refer to in this question. Please provide more context or information for an accurate answer",French cuisine,0.0000,0.0000,0,21.00
single_squad_dev_3477,1990s,2000s,1980s,0.0000,0.0000,0,1.00
single_squad_dev_3479,declines,declined,it declined,0.0000,0.0000,0,1.00
single_squad_dev_3486,1100,"approximately 1,000",900,0.0000,0.0000,0,2.00
single_squad_dev_3488,13.9%,16.1%,12%,0.0000,0.0000,0,1.00
single_squad_dev_3492,external environmental impact,energy consumption and carbon emissions,carbon footprint,0.0000,0.0000,0,1.67
single_squad_dev_3500,38,38,58,1.0000,0.0000,1,1.00
single_squad_dev_3503,sodium thiopental,sodium thiopental,morphine,1.0000,0.0000,1,1.00
single_squad_dev_3505,William O. Douglas,Thurgood Marshall,John Roberts,0.0000,0.0000,0,0.67
single_squad_dev_3514,Kansas,Kansas,Minnesota,1.0000,0.0000,1,1.00
single_squad_dev_3525,$5,$5,$70,1.0000,0.0000,1,1.00
single_squad_dev_3568,fled,pretended to be sick,he hid himself in a cave,0.0000,0.0000,0,4.00
single_squad_dev_3571,Arian,Arian Christianity,Catholicism,0.6667,0.0000,1,2.00
single_squad_dev_3608,arts colleges,"University of Washington School of Art + Art History + Design, Cornish College of the Arts, Seattle University, and Seattle Pacific University",Seattle Art Museum,0.0952,0.0000,0,9.50
single_squad_dev_3609,visual information and acoustic information,"chunks, phonological loops, visuospatial sketchpad, and episodic buffer",short-term memory is a type of memory that is used to store information for a short period of time.,0.1538,0.0909,0,1.60
single_squad_dev_3620,black (historically) or African American,Black or African American,Black,0.8889,0.3333,0,0.80
single_squad_dev_3622,The last slaves in New York were not freed until 1827.,"July 4, 1827","June 30, 1865",0.1538,0.0000,0,0.30
single_squad_dev_3635,the one-drop rule,There is no one specific thing that has brought African Americans together,the Black Panther Party,0.0000,0.0000,0,6.00
single_squad_dev_3669,May 2015,"There is no specific article mentioned in the question. Therefore, it is impossible to determine when the article came out about the importance of interactions. Please provide more information for an accurate answer",2005,0.0000,0.0000,0,14.50
single_squad_dev_3672,European Medicines Agency,Medicines and Healthcare products Regulatory Agency (MHRA),The National Institute for Health and Clinical Excellence,0.4000,0.0000,0,2.33
single_squad_dev_3686,Kufa,"Kufa, Iraq",Baghdad,0.6667,0.0000,1,2.00
single_squad_dev_3709,1915,Claridge's has not liquidated,1931,0.0000,0.0000,0,4.00
single_squad_dev_371,2 minutes,unknown,one minute,0.0000,0.0000,0,0.50
single_squad_dev_3753,1817,1817,1837,1.0000,0.0000,1,1.00
single_squad_dev_3810,Israeli Coastal Plain,"The nation referred to in this question is not specified. Therefore, it is impossible to accurately answer this question",New York City,0.0000,0.0000,0,6.00
single_squad_dev_3811,"700,000","around 141,000",a small minority,0.0000,0.0000,0,2.00
single_squad_dev_3828,Constantine the Great,"There were many Roman emperors throughout history. Some of the most well-known include Julius Caesar, Augustus, Nero, Trajan, Hadrian, Marcus Aurelius, and Constantine the Great. So the answer cannot be determined without specifying a specific time period or emperor",Claudius,0.1081,0.0000,1,17.50
single_squad_dev_3850,204,204 BC,332 BC,0.6667,0.0000,1,2.00
single_squad_dev_3871,Empiric,Hippocratic school of medicine,Hippocrates,0.0000,0.0000,0,4.00
single_squad_dev_3875,Iberia,Russia,the Rhineland,0.0000,0.0000,0,1.00
single_squad_dev_3893,Karl Mack,Karl Mack von Leiberich,General Otto von Bismarck,0.6667,0.0000,1,2.00
single_squad_dev_3894,500,100,900,0.0000,0.0000,0,1.00
single_squad_dev_3908,the Malet coup,French invasion of Russia,Battle of Waterloo,0.0000,0.0000,0,2.00
single_squad_dev_391,Wei Hong,George W. Bush,John McCain,0.0000,0.0000,0,1.50
single_squad_dev_3918,"40,000","40,000","20,000",1.0000,0.0000,1,1.00
single_squad_dev_3922,the Napoleonic Code,the Napoleonic Code or the French Civil Code,Civil Code,0.5000,0.5000,1,3.00
single_squad_dev_3943,first and second Unabomber,Tylenol poisonings,The Northwestern University Commodores football team was the first team to win the NCAA Division I football championship in 1978.,0.0000,0.0952,0,0.50
single_squad_dev_3948,four,4-5,six,0.0000,0.0000,0,1.00
single_squad_dev_3953,Northwestern,"Northwestern University in Evanston, Illinois",University of Chicago,0.3333,0.0000,1,5.00
single_squad_dev_396,in relief centres,This question is unclear and cannot be answered without more context. Please provide more information,in the homes of relatives,0.0000,0.2857,0,5.00
single_squad_dev_3967,Xiamen dialect,Hokkien or Minnan,Standard Mandarin,0.0000,0.0000,0,1.50
single_squad_dev_3971,meaning,meaning and tone of the sentence,pronunciation,0.3333,0.0000,1,5.00
single_squad_dev_3985,the Río de la Plata,Rio de la Plata,Uruguay River,0.7500,0.0000,0,1.00
single_squad_dev_4000,Our Lady of the Sacred Heart,Our Lady of the Sacred Heart,Our Lady of the Holy Heart,1.0000,0.8000,1,1.00
single_squad_dev_4025,founding members,15 years,15 years,0.0000,0.0000,0,1.00
single_squad_dev_4072,the balcony,North Portico,The Pieta,0.0000,0.0000,0,2.00
single_squad_dev_4076,Between 1847 and 1850,"Without context, it is impossible to determine which building or structure the question is referring to. Please provide more information",1939,0.0000,0.0000,0,4.75
single_squad_dev_4085,in the Ballroom,state rooms of a royal palace or official residence,The White House,0.0000,0.0000,0,4.00
single_squad_dev_4089,David Lloyd George,The answer to this question is not provided. Please provide more context or information,John of Gaunt,0.0000,0.0000,0,4.33
single_squad_dev_4095,Hungarian Sándor Just and Croatian Franjo Hanaman,Thomas Edison and Joseph Swan,Thomas Edison and James Watt,0.1667,0.1667,0,0.71
single_squad_dev_4208,February 1907,1907,1932,0.6667,0.0000,0,0.50
single_squad_dev_4212,$2–3bn,$30 billion,$45 billion,0.0000,0.0000,0,2.00
single_squad_dev_4231,"""circumvent[ing] a technological measure",cracking or piracy,pirate,0.0000,0.0000,0,1.00
single_squad_dev_4269,eighteen,14,16,0.0000,0.0000,0,1.00
single_squad_dev_4282,liger,liger,tamerlane,1.0000,0.0000,1,1.00
single_squad_dev_4292,The Microcosm of London,The Costume of Great Britain,The History of the United Kingdom,0.2857,0.2857,0,1.33
single_squad_dev_4332,22%,21%,58.7,0.0000,0.0000,0,1.00
single_squad_dev_4386,Beethoven,Ludwig van Beethoven,Joseph Haydn,0.5000,0.0000,1,3.00
single_squad_dev_4409,"""The Arsenal of America""",The Arsenal of Democracy,Connecticut Arsenal,0.6667,0.4000,0,1.00
single_squad_dev_4419,Dutch Elm disease,Dutch elm disease,elm wilt disease,1.0000,0.6667,1,1.00
single_squad_dev_4425,working-class,This question is unclear and cannot be answered accurately. Please provide more context or information,St. Mark's Square and the Lower East Side,0.0000,0.0000,0,15.00
single_squad_dev_4453,Interstate 95,Interstate 95,I-95,1.0000,0.0000,1,1.00
single_squad_dev_4465,Mona Lisa Smile (2003),Mystic Pizza,The Girl with the Dragon Tattoo,0.0000,0.0000,0,0.50
single_squad_dev_4479,its religious nature,students,its athletics,0.0000,0.4000,0,0.33
single_squad_dev_448,1913,1913,1931,1.0000,0.0000,1,1.00
single_squad_dev_451,July 2014,2014,"January 1, 2010",0.6667,0.0000,0,0.50
single_squad_dev_4519,Galeries Lafayette and Le Printemps,Galeries Lafayette and Printemps,Carrefour and Galeries Lafayette,0.8889,0.6667,0,0.80
single_squad_dev_4533,common law,national laws,Copyright law,0.0000,0.5000,0,1.00
single_squad_dev_4549,"966 Claude R. Kirk, Jr. was elected as the first post-Reconstruction Republican governor, in an upset election",an American politician and businessman,"Claude R. Kirk (born June 17, 1931) was an American politician and a member of the United States House of Representatives from New Jersey.",0.0000,0.2222,0,0.27
single_squad_dev_4550,"Daytona Beach, Orlando, and Tampa/St. Petersburg, has had a fairly even breakdown of Republican and Democratic voters",predominantly conservative and Republican,Republican,0.2000,0.1176,0,0.25
single_squad_dev_4553,There are likely to be additional challenges to the map and districts.,I am an AI and do not have access to current information or updates on maps. It is best to check with a reliable source for any changes to maps,yes,0.1538,0.0000,0,2.55
single_squad_dev_4576,2005,2004,1975,0.0000,0.0000,0,1.00
single_squad_dev_4578,2004,2004,2006,1.0000,0.0000,1,1.00
single_squad_dev_4599,the Landgraviate of Thuringia,The largest state in the region depends on which region is being referred to. Please provide more context for a specific answer,New York,0.0000,0.0000,0,6.33
single_squad_dev_462,28.6%,18.5%,12%,0.0000,0.0000,0,1.00
single_squad_dev_4624,eat from multiple levels of the food chain,have overlapping characteristics and can also evolve and change over time,are morphologically similar,0.0000,0.0000,0,1.57
single_squad_dev_4637,Homer Hooper,Josie McCoy,Veronica Harmon,0.0000,0.0000,0,1.00
single_squad_dev_4645,ABC,ABC,Cartoon Network,1.0000,0.0000,1,1.00
single_squad_dev_4665,after 1900,"January 17, 1853",1840,0.0000,0.0000,0,1.50
single_squad_dev_4668,Over 2.5 million,1.5 million,"500,000",0.4000,0.0000,0,0.67
single_squad_dev_4680,synthesis of chemicals and raw materials,"Botany can be applied to the construction industry through erosion control, use of plant-based materials, and sustainable building practices",horticulture is used to produce building materials,0.2500,0.1538,0,3.00
single_squad_dev_4697,Queen of Pop,Queen of Pop,Madonna,1.0000,0.0000,1,1.00
single_squad_dev_4722,MDNA,MDNA,Madonna II,1.0000,0.0000,1,1.00
single_squad_dev_4731,Morton,Christopher Ciccone,Michael Wolff,0.0000,0.0000,0,2.00
single_squad_dev_4736,40,over 40,dozens,0.6667,0.0000,1,2.00
single_squad_dev_4748,the south-west to the east,west to east,northwards,0.6667,0.0000,0,1.00
single_squad_dev_4791,it has preserved extensive commercial ties,Yes,yes,0.0000,0.0000,0,0.17
single_squad_dev_4793,to sign a bilateral trade and investment framework agreement on 21 May 2013.,"establishment of diplomatic relations, lifting of economic sanctions, and promotion of human rights and democracy in Burma",bilateral trade and investment,0.0690,0.5000,0,1.42
single_squad_dev_4797,South Africa,"China, Russia, and India",China and Russia,0.0000,0.0000,0,2.00
single_squad_dev_4804,rice,rice,tea,1.0000,0.0000,1,1.00
single_squad_dev_4821,Ashkenazim,Abrahamic religions,aristocracy,0.0000,0.0000,0,2.00
single_squad_dev_4824,early decades of the 20th century,late 19th and early 20th centuries,1848,0.3636,0.0000,0,1.20
single_squad_dev_4827,Dhimmis,non-Muslims,Turks,0.0000,0.0000,0,1.00
single_squad_dev_4841,Compression,"recycling, using renewable energy sources, conserving water, reducing consumption of single-use products, and implementing sustainable practices",reuse,0.0000,0.0000,0,16.00
single_squad_dev_4872,conspiring to commit misconduct in a public office,phone hacking and making illegal payments to public officials,fraud,0.2500,0.0000,0,1.29
single_squad_dev_491,"24,000","over 27,000","over 500,000",0.0000,0.0000,0,2.00
single_squad_dev_4910,"HM Prison Shepton Mallet, which was England's oldest prison still in use prior to its closure in 2013, having opened in 1610",Somerset County Jail,Somerset Prison,0.0000,0.0833,0,0.14
single_squad_dev_4950,Hundred Years' War,The Hundred Years' War,French Revolution,1.0000,0.0000,1,1.00
single_squad_dev_4963,Ann Arbor Municipal Airport,It is not specified which city is being referred to. Please provide more information to answer this question accurately,YVR,0.0000,0.0000,0,4.75
single_squad_dev_4993,early as 1920,1912,1890,0.0000,0.0000,0,0.33
single_squad_dev_5052,the Glorious Revolution of 1688,the Glorious Revolution of 1688,the American Revolution,1.0000,0.3333,1,1.00
single_squad_dev_5053,Lord Bacon and Cicero,a political quack,William Shakespeare,0.0000,0.0000,0,0.50
single_squad_dev_5102,direct current,DC stands for District of Columbia,DC Comics,0.0000,0.0000,0,3.00
