token_len,entity_count,bridge_flag,label,question,id
14,1,0,C,"What languages can the star of Accident on Hill Road speak, write or sign?",2hop__94680_446437
18,4,0,C,In what year did France host the finals of the competition featuring Samoa for going on 30 years?,2hop__158204_27721
16,1,0,C,In which year did the publisher of Roald Dahl's Guide to Railway Safety cease to exist?,2hop__704076_119680
10,1,1,C,When was the inception of the company that released Poptropica?,2hop__120751_127300
7,1,0,C,When did the distributer of Poptropica start?,2hop__188536_127300
15,1,1,C,What is the source of the river where Southern California gets most of its water?,2hop__88376_84230
8,1,0,C,When was the university Elizabeth Harwood attended formed?,2hop__122993_12945
15,1,1,C,What is the population of the city where the torch event was held in Vietnam?,2hop__3826_78497
16,1,1,C,Who is the spouse of one of the artist who have had concerts in the stadium?,2hop__159330_466510
14,1,0,C,"What type of community is the municipality where Norbert Pfretzschner died, an instance of?",2hop__147332_797858
13,2,0,C,In what U.S. conflict was involved the most famous army of the Confederacy?,2hop__24612_243409
14,2,0,C,The alma mater of Mushtaq Minhas is an example of what kind of university?,2hop__121505_630117
14,1,0,C,What is the literacy rate in the main city near where Guerra was assassinated?,2hop__11804_11827
8,0,0,C,What conflict involved the most famous Confederacy army?,2hop__24612_98103
18,1,0,C,What is the name of the airport in the city where the torch event was held in Vietnam?,2hop__3826_92217
9,1,0,C,When was the alma mater of Rosalind Plowright founded?,2hop__122291_12945
13,1,0,C,What is the literacy rate in the new state capitol founded in 1709?,2hop__11757_11827
13,1,0,C,What year was the end of the manufacturer of the White armored car?,2hop__398228_120632
9,1,1,C,Who did the members of Kassetten's performers collaborate with?,2hop__142515_31413
8,1,0,C,What university is Anthony Marten's college part of?,2hop__123401_516437
14,1,1,C,What year was the end of the company that built the White armored car?,2hop__132812_120632
11,1,0,C,What university is the college attended by Roland Moyle part of?,2hop__121564_516437
16,1,1,C,What does the abbreviation of the agency that officially recognized women's football in 1971 Stand for?,2hop__35440_35465
17,2,1,C,Where does the four letter abbreviation of the organization which includes the Gibraltar Football Association stand for?,2hop__368142_35465
16,2,1,C,Where did the team that won the MLB World Series in 2007 get Brandon Phillips from?,2hop__48498_89314
16,1,0,C,What is the name of the reservoir fed by the river that the Vyatka connects to?,2hop__157254_439812
17,1,0,C,Who plays the man with the largest signature on the declaration of independence in Sons of Liberty?,2hop__75451_55099
11,1,0,C,What family does the ruling king of Saudi Arabia come from?,2hop__44118_351644
19,2,1,C,"When did the the river where Southern California gets most of its water, start to form the Grand Canyon?",2hop__88376_77860
12,1,0,C,What year did the company Novair International Airways is part of dissolve?,2hop__141468_119861
17,2,0,C,What is the sports team the person played for who scored the first touchdown in Superbowl 1?,2hop__48365_604141
19,1,0,C,How did the Japanese beat the country whose government disagreed on the language used to describe the torch route?,2hop__3648_36839
10,1,0,C,What language is used by the director of Thenum Vayambum?,2hop__118280_598373
15,2,1,C,Where was the person who founded the American Institute of public opinion in 1935 born?,2hop__88637_636575
8,1,0,C,Which county contains the state having Wonderland Village?,2hop__129705_738979
10,1,0,C,What language is used by the director of Tiffany Memorandum?,2hop__118282_722449
11,1,0,C,What is the family of the current leader of Saudi Arabia?,2hop__71072_351644
12,0,1,C,Who did members of the group who originally performed Kollaps collaborate with?,2hop__142361_31413
12,3,0,C,In which county is the White Castle that Harold and Kumar visit?,2hop__92840_542979
17,2,0,C,In what year was the field Montini obtain a doctorate in issued affirming celibacy in the priesthood?,2hop__22110_22195
20,4,1,C,Who was the first Muslim elected as president of the party formed government in NWFP after the elections of 1937?,2hop__55944_51671
22,2,1,C,When did the roof gardens above the city where the Albert Memorial and Royal Albert Hall is located open to the public?,2hop__26310_83050
13,1,0,C,What was the language of the designer of Sacro Cuore di Cristo Re?,2hop__94119_657305
19,2,0,C,In what year was celibacy in the priesthood affirmed in the ordinances that previously Paul had wanted to reform.,2hop__22156_22195
22,3,1,C,Who was President of the U.S. following the event which was preceded by Joseph Schumpeter and Norman Angell's most prolific writing ?,2hop__42169_53910
22,5,1,C,When did Tito first visit the person who laid claim to Eritrea and Italian Somaliland in a letter to Franklin D. Roosevelt?,2hop__15104_8955
28,1,0,C,In what era did The Presbyterian Church in the country whose government disagreed on the language used to describe the torch route experience a large growth in members?,2hop__3648_20314
25,4,1,C,In the war that followed Joseph Schumpeter's and Norman Angell's most prolific writing period where was the initial German offensive on the Western Front stopped?,2hop__42169_56335
7,1,1,C,Where did the author of Ressurreição die?,2hop__409019_145711
7,1,1,C,Who is the child of Liszt's mistress?,2hop__560_568792
13,0,0,C,"What years did the person who said ""I think, therefore I am"" live?",2hop__78686_5225
9,1,0,C,When was the record label for Lovely Creatures created?,2hop__810899_126906
11,0,0,C,What year did the maker of the CMA CGM Vela dissolve?,2hop__132671_120207
13,1,0,C,When did the institute that gives out the Elliott Cresson Medal award open?,2hop__96945_155490
10,1,0,C,What year did the company that built K200 KIFV dissolve?,2hop__132549_120207
10,1,0,C,In what city did the author of Quincas Borba die?,2hop__459117_145711
8,1,1,C,Where did the author of Memórias Póstumas die?,2hop__685285_145711
13,1,1,C,Where was the place where Chopin's father got a teaching position moved to?,2hop__431_449
16,1,0,C,The person coming up with the cartesian coordinate system lived from what year to what year?,2hop__46704_5225
12,1,0,C,When did the institution that awards the John Price Wetherill Medal open?,2hop__96999_155490
12,0,1,C,"When did the person who said ""I think, therefore I am"" live?",2hop__55806_5225
11,1,0,C,What record label does the singer in 4 non blondes sign?,2hop__82020_483285
13,1,0,C,When was the record label that released Buried In Your Black Heart created?,2hop__775243_126906
12,2,0,C,What family does the mother of Louise of Great Britain belong to?,2hop__134811_690498
17,3,0,C,When was the last time the team that beat the Patriots in the Super Bowl was 0-5?,2hop__80185_55948
12,1,0,C,What is the record label for the singer of 4 Non Blondes?,2hop__87355_483285
13,1,0,C,When did the organization that gives out the Frank P. Brown Medal open?,2hop__96955_155490
18,3,0,C,when was the last Super Bowl won by the team the Patriots lost to in the Super Bowl?,2hop__80185_64290
17,2,1,C,Who is the child of the host of the gathering where Frédéric was introduced to George Sand?,2hop__563_568792
12,2,0,C,What is the family of Prince George William of Great Britain's mother,2hop__134855_690498
16,1,0,C,"Which family is the mother of Anne, Princess Royal and Princess of Orange's a member of?",2hop__134926_690498
12,2,1,C,Who was the first president from the party following the Anti-Administration Party?,2hop__642638_66204
14,1,0,C,When was the super bowl won by the team that the Patriots lost to?,2hop__80185_88653
18,2,0,C,During what years did Frédéric take lessons at the academy where Chopin's father once had a teaching position?,2hop__431_453
12,2,1,C,Who mothered the hostess of the party where Chopin met George Sand?,2hop__566_568792
14,2,0,C,In what year did the agency that maintains the Presidential Library system become independent?,2hop__7546_7521
16,3,0,C,In what year did the South Korean car manufacturer that purchased the factor in 1995 dissolve?,2hop__42307_120207
12,1,0,C,What was a notable work of the Chet Holifield Federal Building designer?,2hop__94390_268324
19,2,0,C,What establishment today contains what was known as the place Chopin's father got a teaching position during that time?,2hop__431_445
13,1,0,C,When did the sports team having Gerónimo Berroa win their last world series?,2hop__731499_75946
15,2,0,C,When did the sports team that Junior Félix played for win their last World Series?,2hop__441595_75946
17,2,1,C,Who was the first president from the newly evolved political party Jeremiah Morrow was a member of?,2hop__830840_66204
7,1,1,C,Where was the artist of Honeyburst born?,2hop__143456_782099
9,1,0,C,Who published the work that Bosko is present in?,2hop__208262_150998
9,1,0,C,What company published the cartoon that included Barnyard Dawg?,2hop__854389_150998
11,1,0,C,Who produced the series A-Haunting We Will Go was part of?,2hop__354055_150998
11,1,0,C,The town where Renzo Zorzi died is an instance of what?,2hop__145779_719927
10,1,0,C,Who produced the series Acme Animation Factory is part of?,2hop__153313_150998
15,1,1,C,When did person who supervised the design and implementation of the iPod user interface die?,2hop__961_159501
11,2,0,C,What language was used by the author of Train to Pakistan?,2hop__44510_253211
10,1,0,C,The city where WNZK is located is in what county?,2hop__128607_450327
8,1,0,C,What language was used by Renana Jhabvala's mother?,2hop__135148_622675
18,1,1,C,When did the person who admitted that Apple was late to the party with writeable CD technology die?,2hop__14169_159501
11,0,0,C,In which county is the city in which KZOI is licensed?,2hop__128827_559901
10,1,0,C,What language is spoken by the director of Teesri Manzil?,2hop__116814_812245
10,1,0,C,In which county is the place where Brandon Teena died?,2hop__146316_530896
21,3,1,C,Who was president of the united states immediately following the first global war after which indoor toilets became common in America?,2hop__93350_53910
11,1,0,C,Who led the force that later pushed deep into Polish territory?,2hop__42243_57062
16,2,1,C,where was the initial german offensive during the war just before toilets became common in London?,2hop__93350_56335
10,0,0,C,In which year did the company that made SS.11 end?,2hop__132927_120674
9,1,0,C,In what year did the designer of SS.11 end?,2hop__115769_120674
11,0,0,C,When did the company that made the AA.20 end by merging?,2hop__133239_120674
8,0,0,C,In which year did the SS.11 manufacturer end?,2hop__830938_120674
12,1,0,C,What year was the end of the manufacturer of the Hudson Wasp?,2hop__821106_120035
13,2,1,C,What was the last year of the company that made the Hudson Commodore?,2hop__475864_120035
13,1,1,C,What year was the end of the company which made the Hudson Commodore?,2hop__133051_120035
12,1,0,C,What year was the end of the producer of the Hudson Wasp?,2hop__132710_120035
13,1,0,C,What was the record label of the songwriter of Up on Cripple Creek?,2hop__92286_832457
16,0,1,C,Who is the employer of the person who said the greatest good for the greatest number?,2hop__48861_621419
9,1,0,C,Who disarmed the combined body of all Estonia military?,2hop__28573_28514
12,1,0,C,In which year did the manufacturer of the Nord 1500 Griffon end?,2hop__834447_120674
18,0,0,C,When did the force that brought the tank to the battlefields of world war I invade the island?,2hop__71940_39199
13,1,0,C,Which company owns the company through which the TCM Vault Collection was released?,2hop__25341_856251
11,1,0,C,What year was the end of the Hudson Greater Eight manufacturer?,2hop__167584_120035
11,2,0,C,Who owns the studio which produced Scooby-Doo and the Ghoul School?,2hop__157024_856251
14,2,1,C,Who was the first torchbearer in the place where Manuel John Johnson was born?,2hop__299857_3854
15,1,0,C,The writer of The Night They Drove Old Dixie Down falls under which record label?,2hop__84141_832457
16,1,0,C,What record label is the musician who wrote the day they drove old dixie down affiliated?,2hop__67878_832457
17,1,1,C,When did the military which introduced the tank to the battlefields of WWI start using the SA80?,2hop__71940_61027
10,1,0,C,Who employs the person who wrote the book Animal Liberation?,2hop__75812_621419
6,1,0,C,In what county is WGLB located?,2hop__128534_561893
14,1,0,C,When did the army that introduced tanks to battlefields in WWI start wearing khaki?,2hop__71940_70625
9,1,0,C,When did the torch visit Manuel John Johnson's birthplace?,2hop__299857_3851
7,0,0,C,In which county can you find WWGC?,2hop__128690_613942
11,1,0,C,What municipality is the city CFLT-FM is located a part of?,2hop__128269_634703
15,1,0,C,What's the record label of the songwriter of The Night They Drove Old Dixie Down?,2hop__61054_832457
11,1,0,C,What language was used by the cast member of Black Emanuelle?,2hop__94893_427736
16,3,0,C,How many times did the athlete who won the 2015 Royal Rumble win the WWE championship?,2hop__86793_84145
9,1,0,C,What region is Lewis Croft's city of death located?,2hop__146106_592241
18,0,0,C,"What language is spoken, written or signed by the actress who removed herself from participation in the relay?",2hop__3776_384066
14,3,0,C,How many WWE championships did the winner of the 2018 WWE elimination chamber win?,2hop__81972_84145
14,2,1,C,Who was the first person to carry the torch in Manuel John Johnson's birthplace?,2hop__299857_3857
16,3,0,C,How many times did the winner of the 2018 WWE Elimination Chamber win the WWE championship?,2hop__77736_84145
15,1,0,C,what language is spoken by the actress who decided not to participate in April 15?,2hop__3773_384066
17,2,0,C,How many times did the winner of the 7 man elimination chamber match win the WWE championship?,2hop__93645_84145
18,2,0,C,"How many times has the wrestler who won the WWE Elimination Chamber in 2018, won the WWE Championship?",2hop__92589_84145
15,2,0,C,What language is used by the cast member of Emanuelle and the White Slave Trade?,2hop__96058_427736
9,1,0,C,What is the enrollment at the owner of Benficence?,2hop__502518_45220
11,0,0,C,What is the enrollment at the university where Beneficence is located?,2hop__577093_45220
10,1,1,C,Who is the mother of the screenwriter of Fatal Attraction?,2hop__716486_134776
11,0,1,C,When was the inception of the record label which released W?,2hop__718175_127255
10,1,1,C,Who is the mother of the director of Rogue Trader?,2hop__745749_134776
10,1,0,C,When was the inception of the record label of Planningtorock?,2hop__522617_127255
13,1,0,C,What is the enrolment at the university where Frog Baby Fountain is located?,2hop__176114_45220
14,1,1,C,When did the person who resigned due to the attempt on Napoleon's life die?,2hop__16762_16779
9,1,0,C,When was the record label of Factory Floor established?,2hop__763678_127255
14,1,0,C,What is the enrollment at the school where the Frog Baby Fountain is located?,2hop__750209_45220
15,1,1,C,Which title is used for the leader of the organization that has always opposed Freemasonry?,2hop__17047_87168
15,1,0,C,What year did the person who resigned due to the attempt on Napoleon's life die?,2hop__16762_16772
12,2,0,C,Who plays the creator of Gradgrind in the man who invented christmas?,2hop__440017_58538
15,0,0,C,"The singer of ""You don't know her like I do"" was born in what city?",2hop__80293_576190
16,1,1,C,Where were the people who imposed military might on Tibet in the past trying to raise?,2hop__852_875
11,1,1,C,Who was the founder of Titus Lucretius Tricipitinus' country of citizenship?,2hop__704691_37433
16,1,0,C,What record label was the person who wrote the theme song to Charlie Brown signed with?,2hop__79419_476825
15,1,0,C,What is the record label for the singer of Cast Your Fate to the Wind?,2hop__68097_476825
20,2,0,C,Why were the Uighurs ranked higher by the people who imposed on the military might of Tibet in the past?,2hop__852_41721
17,1,1,C,When did the museum of the war where Boston was the location of many important events open?,2hop__6806_77289
13,0,0,C,What is the record label for the singer of Wings of a Dove?,2hop__59856_395730
15,1,1,C,Where was the person who wrote the song my kinda party by Jason Aldean born?,2hop__73912_576190
12,1,0,C,When did the college Danny Manning played for start issuing engineering degrees?,2hop__62735_7643
14,1,0,C,What record label does the singer of Wings of Snow White Dove belong to?,2hop__67050_395730
17,3,1,C,When did we decide to leave the organization that has completely surrounded Switzerland and Liechtenstein since 1995?,2hop__22341_92923
15,4,1,C,When did Denmark join the union that has completely surrounded Switzerland and Liechtenstein since 1995?,2hop__22341_40795
13,2,0,C,"In the man who invented christmas, who plays the author of Barnaby Rudge?",2hop__832558_58538
14,2,0,C,Who plays the author of A Christmas Carol in The Man who Invented Christmas?,2hop__411777_58538
15,1,1,C,Where are the headquarters of the team which Tonny Brogaard is a member of located?,2hop__134678_663471
9,0,0,C,What marked the end of Titus Lucretius Tricipitinus's country?,2hop__704691_82816
18,2,1,C,Where did the Patriots live during the war in which Boston was the location of many important events?,2hop__6806_83303
18,3,0,C,When did the person Victoria recalled to office following her disappointment with Derby in June of 1859 die?,2hop__16766_16779
15,1,1,C,Where were the establishers of the vice royalty of the Sakya regime trying to raise?,2hop__887_875
13,2,1,C,Where did the winner of last year's world series play before Wrigley Field?,2hop__72296_66376
18,1,1,C,Where did the patriots live during the war following which Boston became one of the wealthiest international ports?,2hop__6805_83303
19,1,0,C,What do most consider to be the event that ended the country that Titus Lucretius Tricipitinus held a citizenship?,2hop__704691_34576
15,1,0,C,What is the place of birth of the performer of Country Must Be Country Wide?,2hop__143647_576190
19,2,0,C,What was the main subject of the book named for the author of Four Score and Seven Years Ago?,2hop__74057_709978
24,1,0,C,"What was the opening date of the museum dedicated to the war that, after it occurred, Boston became one of the wealthiest international ports?",2hop__6805_77289
17,1,1,C,What group's power increased after the rise of the country where Titus Lucretius Tricipitinus was a citizen?,2hop__704691_37437
20,2,0,C,What was the student enrollment at all campuses in the Fall of 2014 for the University where Danny Manning played?,2hop__62735_7606
20,2,1,C,When did the UK vote to leave the organization which the Swiss have brought their economic practices into conformity with?,2hop__22408_92923
16,2,0,C,What was the first year of men's basketball at the university that Danny Manning played for?,2hop__62735_7672
20,2,1,C,What title is used for the leader of the church that the Anglican Church separated from during the Protestant Reformation?,2hop__24395_87168
20,3,1,C,Who did the Han Chinese want to help fight against alongside the people who imposed their military might on Tibet?,2hop__852_41622
18,2,0,C,Why were the Uighurs ranked higher by the people who established the vice royalty of the Sakya regime?,2hop__887_41721
17,2,1,C,When did Denmark join the organization with which the Swiss have brought their economic practices into conformity?,2hop__22408_40795
20,3,0,C,What year did the person die who Victoria recalled to office following her disappointment with Derby in June of 1859?,2hop__16766_16772
17,2,1,C,When did the person who resigned after the scandal of Orsini's bomb being made in England die?,2hop__16764_16779
22,1,1,C,The person who had a fancy funeral at the abbey in 1658 began burying national figures in the abbey starting with who?,2hop__8299_8322
20,2,1,C,When did the person who resigned their position following the scandal due to Orsini's bomb being made in England die?,2hop__16764_16772
11,2,0,C,How many times has Jose Herrera's team won the World Series?,2hop__180233_53295
16,2,1,C,Where did the person the National Gandhi Museum is named after spend their final 144 days?,2hop__135693_11211
13,1,0,C,Elizabeth Claypole's father started burying national figures in the abbey starting with whom?,2hop__460884_8322
13,1,0,C,Henry Cromwell's father began burying national figures in the abbey starting with whom?,2hop__592759_8322
21,3,1,C,Who did the Han Chinese want to the help the people who established the vice royalty of the Sakya regime fight?,2hop__887_41622
16,3,1,C,Where did the leader of the Non-Cooperation movement in South India spend his final 144 days?,2hop__73984_11211
20,1,0,C,How many national female outdoor track and field championships have been won by the college that Danny Manning played for?,2hop__62735_7666
18,4,1,C,"Who was the first national figure buried in the abbey by the father of Mary Cromwell, Countess Fauconberg?",2hop__124495_8322
17,3,1,C,Who was the first person buried in Westminster Abbey by the only non royal ruler of Britain?,2hop__85475_8322
25,2,0,C,"The ruler who granted the English East India Company a charter to govern Saint Helena began burying national figures in the abbey, starting with whom?",2hop__6075_8322
21,3,1,C,Where did the man who returned his British knighthood after the Jalianwala Bagh massacre spend the last days of his life?,2hop__59308_11211
24,4,1,C,What is often pointed to as the one reason for the inconsistent late season play of the team who won last year's World Series?,2hop__72296_18135
13,1,0,C,In what year was the performer of This is Who We Are created?,2hop__757418_126727
9,1,0,C,In what year was the performer of Skeletons created?,2hop__289664_126727
10,2,0,C,In what year was the band that performed Hope created?,2hop__598985_126727
8,1,0,C,When did the performers of Niki FM form?,2hop__740985_126727
8,1,0,C,What is Zhi-Li Zhang's university a member of?,2hop__122939_490927
11,1,1,C,When did the band who performs the song Saying Sorry form?,2hop__142534_126727
12,2,0,C,In what year did the performers of Ohio Is for Lovers form?,2hop__211103_126727
13,1,0,C,What is the meaning of the name of the oldest surviving Buddhist school?,2hop__2920_2741
16,1,0,C,What is the branch of Buddhism in what buddhism is the goal a state of nirvana?,2hop__2745_2741
14,1,0,C,What group of schools is the university where Michael Berland studied a member of?,2hop__123312_490927
16,1,0,C,"What type of school is the university that published the Owen Wister Review, an instance of?",2hop__150255_698136
12,1,0,C,What consortium is the college that Douglas Metcalf attended a member of?,2hop__121313_490927
9,1,0,C,What consortium does Lee Upton's alma mater belong to?,2hop__121447_490927
8,1,0,C,What is Peri Tarr's college a member of?,2hop__121528_490927
11,0,0,C,What does the tradition where condensed study texts are created mean?,2hop__2928_2741
15,0,1,C,What does the word mean that is a major part of Buddhism that rejects bardo?,2hop__2796_2741
16,1,1,C,What year saw the formation of the band that released the album Ohio Is for Lovers?,2hop__142444_126727
12,2,0,C,"Which county border the county where Rapid City, South Dakota is located?",2hop__77286_493731
23,0,0,C,What is the meaning of the word used for the branch of Buddhism that rejects the concept of a transitional state between lives?,2hop__2795_2741
14,2,0,C,What was the record label of the artist of Sou Hrostao Akoma Ena Klama?,2hop__143056_552124
14,2,0,C,What year was the largest Presbyterian denomination brought to the state encompassing Lawngtlai district?,2hop__131511_20315
14,1,0,C,What record label does the artist who co-write and record Ena Hadi belong to?,2hop__142587_552124
19,1,0,C,What is the school from which researchers studied corruption in Sub-Saharan countries from 1970 to 1996 a member of?,2hop__8362_490927
12,2,0,C,What year was the largest Presbyterian denomination brought to Lalrin Fela's birthplace?,2hop__167296_20315
14,3,0,C,When did the largest Presbyterian denomination come to the Indian state with capital Aizawl.,2hop__47817_20315
12,2,0,C,What year was the largest Presbyterian denomination brought to Pu Laldenga's birthplace?,2hop__771804_20315
19,2,0,C,What does the Buddhist belief that says Buddhas come one at a time and not within other eras mean?,2hop__2846_2741
20,2,0,C,What is the meaning of the name for the field of work practiced at Wat Ananda Metyarama Thai Buddhist Temple?,2hop__218781_2741
16,2,0,C,What year was the largest Presbyterian denomination brought to the place where North Lungpher is located?,2hop__653743_20315
17,2,0,C,What year was the largest Presbyterian denomination brought to the state where the Aizawl Monorail is located?,2hop__551409_20315
7,1,0,C,Who founded the manufacturer of TorqueFlite transmissions?,2hop__132622_663762
7,1,0,C,Who founded the company that made Vacamatic?,2hop__133024_663762
15,0,1,C,Who was the lead vocalist on album with the performer of Don't Be My Enemy?,2hop__143315_700331
12,1,1,C,Who is the spouse of the person who made The Circe Invidiosa?,2hop__107474_166568
9,1,0,C,Who founded the company that made the Plymouth Prowler?,2hop__132590_663762
15,0,1,C,Who is the lead vocalist of the band that released Praying to a New God?,2hop__143272_700331
12,1,0,C,What is the city where Giovanni Buonconsiglio was born an instance of?,2hop__144088_319888
9,1,1,C,Where did the mathematician who found Euler's formula die?,2hop__119410_793868
11,0,1,C,Where did the person who studied the shapes of crystals died?,2hop__9418_793868
12,2,0,C,The performer of Nothin But Love also recorded for what record label?,2hop__142527_229561
15,2,1,C,Who was the spouse of the artist who created Circe Offering the Cup to Ulysses?,2hop__107965_166568
15,1,0,C,What was the record label of the singer of Take Good Care of My Baby?,2hop__87729_729660
18,2,0,C,What is the record label for the artist who sang Take Good Care of My Baby in 1961?,2hop__71909_729660
11,1,0,C,In which county is the town in which WFQY is licensed?,2hop__128849_406512
10,2,0,C,How man times have the Cowboys beaten Anthony Weaver's team?,2hop__694936_91422
16,2,0,C,How many times have the Cowboys beat the team which Zac Diles was a member of?,2hop__533517_91422
10,2,0,C,How many times have the Cowboys beat Johnathan Joseph's team?,2hop__863824_91422
19,3,0,C,"While Anson led the Chicago Cubs, how many pennants did they win in the league that employed Rich Rieker?",2hop__476225_18120
13,3,0,C,How many pennants from Andy Olsen's employer did the Anson-led Chicago cubs win?,2hop__758384_18120
19,3,0,C,"While Anison led the Chicago Cubs, how many pennants did they win in the league that employed Hal Dixon?",2hop__771154_18120
19,3,0,C,"When Anson led the Chicago Cubs, how many pennants did they win in the league that employed Peter McLaughlin?",2hop__489283_18120
19,3,0,C,"While Anson led the Chicago Cubs, how many pennants did they win in the league that employed Bill Engeln?",2hop__769307_18120
18,3,0,C,"While Anson led the Chicago Cubs, how many pennants did they win from the employer of George Magerkurth?",2hop__814946_18120
19,3,0,C,"While Anson led the Chicago cubs, how many pennants of the league having the Montreal Expos did they win?",2hop__26647_18120
21,3,1,C,"When Anson led the Chicago cubs, what is the number of pennants won from the organization Dusty Boggess was employed by?",2hop__822362_18120
8,1,1,C,Who is the mother of Kim Pyong-il's sibling?,2hop__558308_134798
10,1,0,C,Which year did the agency that designed USRA 0-8-0 end?,2hop__115615_120682
10,1,0,C,Which year did the agency working on USRA 2-8-8-2 end?,2hop__115775_120682
8,1,1,C,Who is the mother of Ko Young-hee's spouse?,2hop__647590_134798
10,1,0,C,When did the group that worked on USRA 2-6-6-2 disband?,2hop__115728_120682
13,1,0,C,The national rail system that designed USRA 0-6-0 came to an end when?,2hop__115614_120682
7,1,1,C,Who is the wife of Kim Jong-chul?,2hop__767756_134798
10,1,0,C,Whose rule followed that of the father of Norodom Arunrasmy?,2hop__124666_708430
10,1,0,C,Which year did the developer of USRA Light Mikado end?,2hop__115618_120682
8,0,0,C,When did the author of A Dirge die?,2hop__250686_113174
9,0,0,C,When did the author of the The Cloud die?,2hop__627697_113174
12,2,0,C,What position did the person who The Sun supported in 1974 hold?,2hop__21222_770460
16,0,0,C,The national railway that developed the USRA Heavy Mikado came to and end in which year?,2hop__115616_120682
9,1,0,C,What year did the employer of William Sharp die?,2hop__464946_16861
13,2,0,C,In what year did the leader of schools in the Royal Palace die,2hop__59214_16861
15,2,1,C,In what year was the termination of the company that worked on USRA Light Pacific?,2hop__115731_120682
13,1,0,C,Which title is used for the leader of the major opponent to Freemasonry?,2hop__15747_87168
13,2,0,C,What year did the person who issued the Royal Proclamation of 1763 die?,2hop__42435_16861
13,2,1,C,What year saw the end of the administration that developed USRA Light Mountain?,2hop__115730_120682
13,1,1,C,How many episodes are there of the series which includes Achy Jakey Heart?,2hop__153312_72577
10,0,0,C,What's the record label of the Addicted to Music creator?,2hop__142087_417528
10,2,0,C,What year did the author of Julian and Maddalo die?,2hop__340746_113174
18,2,1,C,What position was held by the individual who was prime minister when the UK joined the European Community?,2hop__52834_770460
24,2,1,C,When did the American Idol host who had a special tribute at his finale announce he was no longer going to be a judge?,2hop__3256_2999
10,1,0,C,When did the author of A Defence of Poetry die?,2hop__371939_113174
