question,label,pca_x,pca_y,predicted_label,correct,embedding_norm
Where was the person who founded the American Institute of public opinion in 1935 born?,C,0.14335139,0.12703268,C,True,1.0
Which county contains the state having Wonderland Village?,C,0.14560302,0.031466097,C,True,0.99999994
What language is used by the director of Tiffany Memorandum?,C,-0.06460936,0.0825212,C,True,0.99999994
What is the family of the current leader of Saudi Arabia?,C,-0.020463223,0.1640384,C,True,1.0
Who did members of the group who originally performed Kollaps collaborate with?,C,-0.05726748,-0.3107213,C,True,1.0
In which county is the White Castle that Harold and Kumar visit?,C,0.06297431,0.17225134,C,True,1.0
In what year was the field Montini obtain a doctorate in issued affirming celibacy in the priesthood?,C,0.1499705,0.0764862,B,False,0.99999994
Who was the first Muslim elected as president of the party formed government in NWFP after the elections of 1937?,C,0.06277427,0.091004916,C,True,1.0
When did the roof gardens above the city where the Albert Memorial and Royal Albert Hall is located open to the public?,C,0.24295615,0.066385604,C,True,1.0
What was the language of the designer of Sacro Cuore di Cristo Re?,C,-0.027975779,0.17869502,B,False,0.99999994
In what year was celibacy in the priesthood affirmed in the ordinances that previously Paul had wanted to reform.,C,0.12051701,-0.081542686,B,False,1.0
Who was President of the U.S. following the event which was preceded by Joseph Schumpeter and Norman Angell's most prolific writing ?,C,0.04663966,0.1267278,B,False,1.0
When did Tito first visit the person who laid claim to Eritrea and Italian Somaliland in a letter to Franklin D. Roosevelt?,C,0.051375415,0.17281583,B,False,1.0
In what era did The Presbyterian Church in the country whose government disagreed on the language used to describe the torch route experience a large growth in members?,C,0.19856739,0.016349139,C,True,1.0
In the war that followed Joseph Schumpeter's and Norman Angell's most prolific writing period where was the initial German offensive on the Western Front stopped?,C,0.037621822,0.13740519,B,False,1.0
Where did the author of Ressurreição die?,C,-0.044061504,0.21882959,C,True,1.0
Who is the child of Liszt's mistress?,C,-0.07541284,0.02185605,B,False,0.99999994
"What years did the person who said ""I think, therefore I am"" live?",C,-0.068253614,0.003413769,C,True,1.0
When was the record label for Lovely Creatures created?,C,-0.046113823,-0.28039804,B,False,1.0
What year did the maker of the CMA CGM Vela dissolve?,C,0.11001817,-0.00011892644,C,True,1.0
When did the institute that gives out the Elliott Cresson Medal award open?,C,0.19395544,-0.039873786,C,True,1.0
What year did the company that built K200 KIFV dissolve?,C,0.10429593,0.028272096,C,True,0.99999994
In what city did the author of Quincas Borba die?,C,-0.046860646,0.2359575,C,True,0.99999994
Where did the author of Memórias Póstumas die?,C,0.064785324,0.18245234,C,True,1.0
Where was the place where Chopin's father got a teaching position moved to?,C,0.053802647,0.13043046,C,True,1.0
The person coming up with the cartesian coordinate system lived from what year to what year?,C,0.164598,0.18971899,C,True,1.0
When did the institution that awards the John Price Wetherill Medal open?,C,0.17636053,0.008551225,C,True,1.0
"When did the person who said ""I think, therefore I am"" live?",C,-0.050209336,0.015896775,C,True,0.99999994
What record label does the singer in 4 non blondes sign?,C,-0.14233837,-0.43446225,C,True,1.0
When was the record label that released Buried In Your Black Heart created?,C,-0.07549451,-0.3442224,B,False,0.99999994
What family does the mother of Louise of Great Britain belong to?,C,0.021721119,0.15534721,C,True,1.0
When was the last time the team that beat the Patriots in the Super Bowl was 0-5?,C,0.22331555,-0.15196016,B,False,0.99999994
What is the record label for the singer of 4 Non Blondes?,C,-0.1300934,-0.43802127,C,True,1.0
When did the organization that gives out the Frank P. Brown Medal open?,C,0.23726676,-0.009903133,B,False,1.0
when was the last Super Bowl won by the team the Patriots lost to in the Super Bowl?,C,0.21116915,-0.10972544,C,True,0.99999994
Who is the child of the host of the gathering where Frédéric was introduced to George Sand?,C,-0.08920808,0.03114741,C,True,1.0
What is the family of Prince George William of Great Britain's mother,C,0.07217466,0.03996748,B,False,0.99999994
"Which family is the mother of Anne, Princess Royal and Princess of Orange's a member of?",C,0.06397165,0.10980068,B,False,0.99999994
Who was the first president from the party following the Anti-Administration Party?,C,0.11015898,0.040820718,B,False,0.99999994
When was the super bowl won by the team that the Patriots lost to?,C,0.20740564,-0.12050852,C,True,1.0
During what years did Frédéric take lessons at the academy where Chopin's father once had a teaching position?,C,0.016842572,0.037791215,B,False,1.0
Who mothered the hostess of the party where Chopin met George Sand?,C,-0.121921636,0.021857915,C,True,1.0
In what year did the agency that maintains the Presidential Library system become independent?,C,0.29772934,0.024419382,C,True,1.0
In what year did the South Korean car manufacturer that purchased the factor in 1995 dissolve?,C,0.049048644,-0.038691167,C,True,0.99999994
What was a notable work of the Chet Holifield Federal Building designer?,C,0.07678303,0.116832614,C,True,1.0
What establishment today contains what was known as the place Chopin's father got a teaching position during that time?,C,0.10842457,0.12528323,C,True,1.0
When did the sports team having Gerónimo Berroa win their last world series?,C,0.18014704,-0.07820171,C,True,0.99999994
When did the sports team that Junior Félix played for win their last World Series?,C,0.17883223,-0.05860656,C,True,1.0
Who was the first president from the newly evolved political party Jeremiah Morrow was a member of?,C,0.09407666,0.0836437,B,False,1.0
Where was the artist of Honeyburst born?,C,-0.12108205,-0.026227415,C,True,0.99999994
Who published the work that Bosko is present in?,C,0.057203457,0.08706658,C,True,1.0
What company published the cartoon that included Barnyard Dawg?,C,-0.02655712,-0.096994154,C,True,1.0
Who produced the series A-Haunting We Will Go was part of?,C,-0.22369267,-0.04250565,C,True,1.0
The town where Renzo Zorzi died is an instance of what?,C,-0.05428757,0.23794617,C,True,0.99999994
Who produced the series Acme Animation Factory is part of?,C,-0.19962832,0.034289766,C,True,0.99999994
When did person who supervised the design and implementation of the iPod user interface die?,C,0.019818941,-0.054315574,C,True,1.0
What language was used by the author of Train to Pakistan?,C,-0.043780915,0.12217791,C,True,1.0
The city where WNZK is located is in what county?,C,0.08981987,0.060664725,C,True,0.99999994
What language was used by Renana Jhabvala's mother?,C,-0.12634757,0.034711517,C,True,1.0
When did the person who admitted that Apple was late to the party with writeable CD technology die?,C,-0.07140775,-0.119323105,B,False,0.99999994
In which county is the city in which KZOI is licensed?,C,0.07611328,0.080742516,C,True,0.99999994
What language is spoken by the director of Teesri Manzil?,C,-0.18260452,0.2289855,C,True,1.0
In which county is the place where Brandon Teena died?,C,-0.007617858,-0.038198967,C,True,1.0
Who was president of the united states immediately following the first global war after which indoor toilets became common in America?,C,0.17335452,0.09675025,B,False,1.0000001
Who led the force that later pushed deep into Polish territory?,C,0.03643411,0.15145177,B,False,1.0
where was the initial german offensive during the war just before toilets became common in London?,C,0.17011897,0.08321711,B,False,1.0
In which year did the company that made SS.11 end?,C,0.12817669,-0.011887161,B,False,1.0
In what year did the designer of SS.11 end?,C,0.10800679,0.06457961,B,False,0.99999994
When did the company that made the AA.20 end by merging?,C,0.10476196,-0.0830715,C,True,0.99999994
In which year did the SS.11 manufacturer end?,C,0.14667724,0.0029920088,B,False,1.0
What year was the end of the manufacturer of the Hudson Wasp?,C,0.08294697,0.047408048,C,True,1.0
What was the last year of the company that made the Hudson Commodore?,C,0.1842905,-0.0013948777,B,False,0.99999994
What year was the end of the company which made the Hudson Commodore?,C,0.16479889,0.00030625195,B,False,0.99999994
What year was the end of the producer of the Hudson Wasp?,C,-0.024302002,-0.010969078,C,True,0.99999994
What was the record label of the songwriter of Up on Cripple Creek?,C,-0.11845583,-0.39628768,B,False,1.0
Who is the employer of the person who said the greatest good for the greatest number?,C,0.13570298,0.044242963,B,False,1.0
Who disarmed the combined body of all Estonia military?,C,0.13525836,0.08159119,C,True,1.0
In which year did the manufacturer of the Nord 1500 Griffon end?,C,0.1691598,0.11009947,C,True,0.99999994
When did the force that brought the tank to the battlefields of world war I invade the island?,C,0.14672823,0.096790336,B,False,0.99999994
Which company owns the company through which the TCM Vault Collection was released?,C,-0.023515126,-0.10213026,C,True,0.99999994
What year was the end of the Hudson Greater Eight manufacturer?,C,0.1656459,0.043981683,B,False,1.0
Who owns the studio which produced Scooby-Doo and the Ghoul School?,C,-0.081405036,-0.032589808,C,True,0.99999994
Who was the first torchbearer in the place where Manuel John Johnson was born?,C,0.011191668,0.19258717,C,True,1.0000001
The writer of The Night They Drove Old Dixie Down falls under which record label?,C,-0.14931823,-0.40791178,C,True,1.0
What record label is the musician who wrote the day they drove old dixie down affiliated?,C,-0.1304526,-0.43293813,C,True,1.0
When did the military which introduced the tank to the battlefields of WWI start using the SA80?,C,0.20453829,0.03829501,B,False,1.0
Who employs the person who wrote the book Animal Liberation?,C,-0.022663957,0.09873676,C,True,1.0
In what county is WGLB located?,C,0.17326742,-0.031033255,C,True,1.0
When did the army that introduced tanks to battlefields in WWI start wearing khaki?,C,0.1577286,0.02632273,B,False,1.0
When did the torch visit Manuel John Johnson's birthplace?,C,0.024115996,0.15899192,C,True,1.0
In which county can you find WWGC?,C,0.2538819,0.021022873,C,True,1.0
What municipality is the city CFLT-FM is located a part of?,C,0.20607919,0.00549967,C,True,1.0
What's the record label of the songwriter of The Night They Drove Old Dixie Down?,C,-0.15788765,-0.4469645,C,True,1.0
What language was used by the cast member of Black Emanuelle?,C,-0.1690272,0.06991984,C,True,1.0
How many times did the athlete who won the 2015 Royal Rumble win the WWE championship?,C,0.09794496,-0.15863137,B,False,1.0
What region is Lewis Croft's city of death located?,C,-0.060368188,0.19858573,C,True,1.0
"What language is spoken, written or signed by the actress who removed herself from participation in the relay?",C,-0.17145221,-0.026714588,C,True,1.0
How many WWE championships did the winner of the 2018 WWE elimination chamber win?,C,0.16985038,-0.20624967,C,True,0.99999994
Who was the first person to carry the torch in Manuel John Johnson's birthplace?,C,-0.0018859381,0.1844925,C,True,0.99999994
How many times did the winner of the 2018 WWE Elimination Chamber win the WWE championship?,C,0.16084151,-0.1951877,C,True,0.99999994
what language is spoken by the actress who decided not to participate in April 15?,C,-0.20672937,0.018306365,C,True,1.0
How many times did the winner of the 7 man elimination chamber match win the WWE championship?,C,0.12675509,-0.13866378,B,False,0.99999994
"How many times has the wrestler who won the WWE Elimination Chamber in 2018, won the WWE Championship?",C,0.109304555,-0.15578729,C,True,1.0
What language is used by the cast member of Emanuelle and the White Slave Trade?,C,-0.026328007,0.1886872,C,True,1.0
What is the enrollment at the owner of Benficence?,C,0.21871963,0.04555291,C,True,1.0
What is the enrollment at the university where Beneficence is located?,C,0.3961818,0.076388225,C,True,1.0
Who is the mother of the screenwriter of Fatal Attraction?,C,-0.42150614,0.13363674,C,True,0.99999994
When was the inception of the record label which released W?,C,-0.043069717,-0.4040075,B,False,1.0
Who is the mother of the director of Rogue Trader?,C,-0.34436813,0.20179388,C,True,0.99999994
When was the inception of the record label of Planningtorock?,C,-0.042773835,-0.116835594,C,True,0.99999994
What is the enrolment at the university where Frog Baby Fountain is located?,C,0.30642375,0.031355627,C,True,1.0
When did the person who resigned due to the attempt on Napoleon's life die?,C,0.027404206,0.19780898,C,True,0.99999994
When was the record label of Factory Floor established?,C,0.0023701964,-0.166242,C,True,1.0
What is the enrollment at the school where the Frog Baby Fountain is located?,C,0.31074786,-0.024272019,B,False,1.0
Which title is used for the leader of the organization that has always opposed Freemasonry?,C,0.1849999,0.056799993,C,True,0.99999994
What year did the person who resigned due to the attempt on Napoleon's life die?,C,0.029747907,0.1883026,C,True,1.0
Who plays the creator of Gradgrind in the man who invented christmas?,C,-0.18452033,0.128598,C,True,1.0
"The singer of ""You don't know her like I do"" was born in what city?",C,-0.16406432,-0.2834621,C,True,1.0
Where were the people who imposed military might on Tibet in the past trying to raise?,C,0.099903435,0.07193829,B,False,1.0
Who was the founder of Titus Lucretius Tricipitinus' country of citizenship?,C,0.20141335,0.20166042,C,True,0.9999999
What record label was the person who wrote the theme song to Charlie Brown signed with?,C,-0.11370965,-0.3435838,B,False,1.0
What is the record label for the singer of Cast Your Fate to the Wind?,C,-0.29833895,-0.37898704,C,True,0.99999994
Why were the Uighurs ranked higher by the people who imposed on the military might of Tibet in the past?,C,0.15294224,0.050869517,B,False,1.0
When did the museum of the war where Boston was the location of many important events open?,C,0.18665959,0.16488928,C,True,1.0
What is the record label for the singer of Wings of a Dove?,C,-0.114108734,-0.31805187,B,False,1.0
Where was the person who wrote the song my kinda party by Jason Aldean born?,C,-0.19487947,-0.23464842,C,True,0.99999994
When did the college Danny Manning played for start issuing engineering degrees?,C,0.2223728,0.018403899,B,False,1.0
What record label does the singer of Wings of Snow White Dove belong to?,C,-0.07630774,-0.34,B,False,1.0
When did we decide to leave the organization that has completely surrounded Switzerland and Liechtenstein since 1995?,C,0.14152052,0.08789809,C,True,1.0
When did Denmark join the union that has completely surrounded Switzerland and Liechtenstein since 1995?,C,0.14421532,0.12044185,C,True,1.0
"In the man who invented christmas, who plays the author of Barnaby Rudge?",C,-0.16081403,0.045036558,C,True,1.0000001
Who plays the author of A Christmas Carol in The Man who Invented Christmas?,C,-0.16099913,0.11291827,C,True,1.0
Where are the headquarters of the team which Tonny Brogaard is a member of located?,C,0.24834578,-0.00523448,C,True,1.0
What marked the end of Titus Lucretius Tricipitinus's country?,C,0.22330299,0.1575752,C,True,1.0
Where did the Patriots live during the war in which Boston was the location of many important events?,C,0.21774705,0.102619275,B,False,1.0
When did the person Victoria recalled to office following her disappointment with Derby in June of 1859 die?,C,0.06119449,-0.014186949,C,True,1.0
Where were the establishers of the vice royalty of the Sakya regime trying to raise?,C,0.08276636,0.17555611,B,False,1.0
Where did the winner of last year's world series play before Wrigley Field?,C,0.20156692,-0.13677053,B,False,1.0
Where did the patriots live during the war following which Boston became one of the wealthiest international ports?,C,0.21877158,0.10717432,B,False,1.0
What do most consider to be the event that ended the country that Titus Lucretius Tricipitinus held a citizenship?,C,0.1985832,0.19900386,C,True,1.0
What is the place of birth of the performer of Country Must Be Country Wide?,C,-0.045140553,0.07746806,C,True,1.0000001
What was the main subject of the book named for the author of Four Score and Seven Years Ago?,C,0.032938723,0.034970794,B,False,1.0
"What was the opening date of the museum dedicated to the war that, after it occurred, Boston became one of the wealthiest international ports?",C,0.17355928,0.15640752,C,True,0.99999994
What group's power increased after the rise of the country where Titus Lucretius Tricipitinus was a citizen?,C,0.2343754,0.13522442,B,False,1.0
What was the student enrollment at all campuses in the Fall of 2014 for the University where Danny Manning played?,C,0.28600717,-0.087329134,B,False,1.0
When did the UK vote to leave the organization which the Swiss have brought their economic practices into conformity with?,C,0.1279084,0.051881265,C,True,0.99999994
What was the first year of men's basketball at the university that Danny Manning played for?,C,0.23252563,-0.06597218,B,False,0.9999999
What title is used for the leader of the church that the Anglican Church separated from during the Protestant Reformation?,C,0.22254212,-0.0068180966,B,False,1.0
Who did the Han Chinese want to help fight against alongside the people who imposed their military might on Tibet?,C,0.055895016,0.0805535,B,False,0.99999994
Why were the Uighurs ranked higher by the people who established the vice royalty of the Sakya regime?,C,0.16319947,0.16464859,B,False,1.0
When did Denmark join the organization with which the Swiss have brought their economic practices into conformity?,C,0.17351723,0.16490084,C,True,1.0
What year did the person die who Victoria recalled to office following her disappointment with Derby in June of 1859?,C,0.055382434,-0.006955911,C,True,1.0
When did the person who resigned after the scandal of Orsini's bomb being made in England die?,C,-0.035593156,0.23830694,C,True,1.0
The person who had a fancy funeral at the abbey in 1658 began burying national figures in the abbey starting with who?,C,0.1435317,0.20598342,B,False,0.99999994
When did the person who resigned their position following the scandal due to Orsini's bomb being made in England die?,C,-0.007700663,0.24733186,C,True,1.0
How many times has Jose Herrera's team won the World Series?,C,0.11154856,-0.091693625,C,True,1.0
Where did the person the National Gandhi Museum is named after spend their final 144 days?,C,0.043085963,0.22862254,C,True,1.0
Elizabeth Claypole's father started burying national figures in the abbey starting with whom?,C,0.12187125,0.15595381,B,False,1.0
Henry Cromwell's father began burying national figures in the abbey starting with whom?,C,0.16560183,0.21483502,B,False,1.0000001
Who did the Han Chinese want to the help the people who established the vice royalty of the Sakya regime fight?,C,0.022922894,0.20066248,C,True,0.99999994
Where did the leader of the Non-Cooperation movement in South India spend his final 144 days?,C,0.11355944,0.12732011,C,True,1.0
How many national female outdoor track and field championships have been won by the college that Danny Manning played for?,C,0.23444246,-0.21939032,B,False,1.0
"Who was the first national figure buried in the abbey by the father of Mary Cromwell, Countess Fauconberg?",C,0.14597788,0.19106182,B,False,1.0
Who was the first person buried in Westminster Abbey by the only non royal ruler of Britain?,C,0.1454168,0.1468492,B,False,1.0
"The ruler who granted the English East India Company a charter to govern Saint Helena began burying national figures in the abbey, starting with whom?",C,0.12272585,0.21427234,B,False,1.0
Where did the man who returned his British knighthood after the Jalianwala Bagh massacre spend the last days of his life?,C,-0.16302048,0.17459808,C,True,0.99999994
What is often pointed to as the one reason for the inconsistent late season play of the team who won last year's World Series?,C,0.17452393,-0.09377618,B,False,1.0
In what year was the performer of This is Who We Are created?,C,-0.059061497,-0.16149445,C,True,1.0
In what year was the performer of Skeletons created?,C,-0.044847038,-0.055012617,B,False,1.0
In what year was the band that performed Hope created?,C,-0.08133035,-0.41012192,B,False,1.0
When did the performers of Niki FM form?,C,-0.08634262,-0.22101744,C,True,1.0
What is Zhi-Li Zhang's university a member of?,C,0.124313466,0.018279657,C,True,0.99999994
When did the band who performs the song Saying Sorry form?,C,-0.12898242,-0.35550678,C,True,1.0
In what year did the performers of Ohio Is for Lovers form?,C,-0.008054628,-0.24475676,C,True,1.0
What is the meaning of the name of the oldest surviving Buddhist school?,C,0.26791322,0.17490357,C,True,1.0
What is the branch of Buddhism in what buddhism is the goal a state of nirvana?,C,0.18841115,-0.0076029697,C,True,1.0
What group of schools is the university where Michael Berland studied a member of?,C,0.22952688,0.03289564,C,True,1.0
"What type of school is the university that published the Owen Wister Review, an instance of?",C,0.25177166,0.14278048,B,False,1.0
What consortium is the college that Douglas Metcalf attended a member of?,C,0.25315106,0.06781504,C,True,0.99999994
What consortium does Lee Upton's alma mater belong to?,C,0.23545086,0.062959276,C,True,1.0
What is Peri Tarr's college a member of?,C,0.16511568,0.0489728,C,True,0.99999994
What does the tradition where condensed study texts are created mean?,C,0.23655218,0.09036591,B,False,1.0
What does the word mean that is a major part of Buddhism that rejects bardo?,C,0.06653575,0.028373707,C,True,0.99999994
What year saw the formation of the band that released the album Ohio Is for Lovers?,C,0.008660119,-0.43542808,C,True,1.0
"Which county border the county where Rapid City, South Dakota is located?",C,0.1845462,-0.036244333,B,False,1.0
What is the meaning of the word used for the branch of Buddhism that rejects the concept of a transitional state between lives?,C,0.14053687,0.05395733,C,True,1.0
What was the record label of the artist of Sou Hrostao Akoma Ena Klama?,C,-0.17800452,-0.28717667,C,True,1.0
What year was the largest Presbyterian denomination brought to the state encompassing Lawngtlai district?,C,0.29907465,-0.013435016,C,True,1.0
What record label does the artist who co-write and record Ena Hadi belong to?,C,-0.19237868,-0.3418204,C,True,0.99999994
What is the school from which researchers studied corruption in Sub-Saharan countries from 1970 to 1996 a member of?,C,0.09306397,0.11283836,C,True,1.0
What year was the largest Presbyterian denomination brought to Lalrin Fela's birthplace?,C,0.09799156,-0.015579164,C,True,1.0
When did the largest Presbyterian denomination come to the Indian state with capital Aizawl.,C,0.16801497,-0.039564155,B,False,1.0
What year was the largest Presbyterian denomination brought to Pu Laldenga's birthplace?,C,0.16422142,0.016223539,C,True,1.0
What does the Buddhist belief that says Buddhas come one at a time and not within other eras mean?,C,0.094059825,-0.024644965,B,False,1.0
What is the meaning of the name for the field of work practiced at Wat Ananda Metyarama Thai Buddhist Temple?,C,0.11610241,0.14019907,C,True,1.0
What year was the largest Presbyterian denomination brought to the place where North Lungpher is located?,C,0.34990644,-0.024749074,B,False,0.99999994
What year was the largest Presbyterian denomination brought to the state where the Aizawl Monorail is located?,C,0.31421566,0.016420228,C,True,0.99999994
Who founded the manufacturer of TorqueFlite transmissions?,C,0.10306346,0.071426004,C,True,1.0
Who founded the company that made Vacamatic?,C,0.047679517,0.16161701,C,True,1.0
Who was the lead vocalist on album with the performer of Don't Be My Enemy?,C,-0.16325188,-0.39281473,C,True,1.0
Who is the spouse of the person who made The Circe Invidiosa?,C,-0.07541115,0.18511894,C,True,1.0
Who founded the company that made the Plymouth Prowler?,C,0.16134548,0.06888341,C,True,1.0
Who is the lead vocalist of the band that released Praying to a New God?,C,-0.09278276,-0.33781427,B,False,1.0
What is the city where Giovanni Buonconsiglio was born an instance of?,C,0.0043559102,0.2553658,C,True,1.0000001
Where did the mathematician who found Euler's formula die?,C,0.15152644,0.16992497,B,False,0.99999994
Where did the person who studied the shapes of crystals died?,C,0.04279255,0.11925842,B,False,1.0
The performer of Nothin But Love also recorded for what record label?,C,-0.15627356,-0.48158872,C,True,1.0
Who was the spouse of the artist who created Circe Offering the Cup to Ulysses?,C,0.044903535,0.0881624,B,False,1.0
What was the record label of the singer of Take Good Care of My Baby?,C,-0.19376126,-0.4404624,B,False,1.0
What is the record label for the artist who sang Take Good Care of My Baby in 1961?,C,-0.16710067,-0.38137183,B,False,1.0
In which county is the town in which WFQY is licensed?,C,0.17822236,0.0021415562,C,True,1.0
How man times have the Cowboys beaten Anthony Weaver's team?,C,0.12529767,-0.11561505,B,False,1.0
